pl_name,hostname,disc_year,discoverymethod,pl_orbper,pl_rade,pl_bmasse,st_teff,st_rad,sy_dist
"KMT-2017-BLG-1057L b","KMT-2017-BLG-1057L",2024,"Microlensing",,,23.50000000,,,6500.00000000
"KMT-2017-BLG-2331L b","KMT-2017-BLG-2331L",2024,"Microlensing",,,171.00000000,,,8030.00000000
"OGLE-2017-BLG-0364L b","OGLE-2017-BLG-0364L",2024,"Microlensing",,,75.80000000,,,7860.00000000
"TOI-1803 b","TOI-1803",2025,"Transit",6.29328700000,2.99000000,10.32000000,4687.00,0.715000,119.24000000
"TOI-1803 c","TOI-1803",2025,"Transit",12.88577900000,4.29000000,8.00000000,4687.00,0.715000,119.24000000
"TOI-5573 b","TOI-5573",2025,"Transit",8.79758977000,9.75000000,112.00000000,3790.00,0.594000,186.56200000
"TOI-2076 e","TOI-2076",2025,"Transit",3.02237530000,1.30100000,4.70000000,,0.758000,41.90910000
"KMT-2017-BLG-2197L b","KMT-2017-BLG-2197L",2025,"Microlensing",,,2809.60311788,,,7800.00000000
"KMT-2022-BLG-1790L b","KMT-2022-BLG-1790L",2025,"Microlensing",,,549.84314411,,,6480.00000000
"KMT-2022-BLG-2076L b","KMT-2022-BLG-2076L",2025,"Microlensing",,,279.68899816,,,5570.00000000
"KMT-2023-BLG-2209L b","KMT-2023-BLG-2209L",2025,"Microlensing",,,254.26272560,,,5570.00000000
"HD 87816 b","HD 87816",2025,"Radial Velocity",484.17000000000,,2142.16346318,4989.00,9.000000,133.23300000
"HD 87816 c","HD 87816",2025,"Radial Velocity",7596.00000000000,,3877.50656540,4989.00,9.000000,133.23300000
"HD 94890 b","HD 94890",2025,"Radial Velocity",824.61000000000,,676.97450691,4867.00,10.710000,61.70120000
"HD 94890 c","HD 94890",2025,"Radial Velocity",2492.19000000000,,2831.85110637,4867.00,10.710000,61.70120000
"HD 102888 b","HD 102888",2025,"Radial Velocity",252.06000000000,,1808.44363583,4990.00,8.600000,126.48400000
"TOI-6695 b","TOI-6695",2025,"Transit",80.38900000000,9.52763359,66.74396547,6400.00,1.517000,282.53600000
"TOI-6695 c","TOI-6695",2025,"Radial Velocity",242.40000000000,,460.85119015,6400.00,1.517000,282.53600000
"TIC 434398831 b","TIC 434398831",2025,"Transit",3.68550400000,3.51000000,,5638.00,0.909000,217.01100000
"TIC 434398831 c","TIC 434398831",2025,"Transit",6.21029100000,5.63000000,,5638.00,0.909000,217.01100000
