name,samples,input_dim_w,input_dim_h,input_dim_c,output_dim,optimizer,epochs,batch,learn_rate,tf_version,cuda_version,batch_time,epoch_time,fit_time,npz_path,gpu_make,gpu_name,gpu_arch,gpu_cc,gpu_core_count,gpu_sm_count,gpu_memory_size,gpu_memory_type,gpu_memory_bw,gpu_tensor_core_count,max_memory_util,avg_memory_util,max_gpu_util,avg_gpu_util,max_gpu_temp,avg_gpu_temp
MobileNet_architecture_optadam_s1_ipd224x224x3_opd10_e1_b1_lr01_7491,1,224,224,3,10,adam,1,1,0.01,2.15.1,12.2,22.07,22.09,22.16,model-npz/MobileNet_optadam_s1_e1_b1_lr001_1570.npz,Nvidia,Tesla P100-PCIE-16GB,Tesla,6.0,3584,56,16.0,hbm2,732.2,0,4.0,0.12,13.0,0.51,25.0,25.0
MobileNet_architecture_optadam_s1_ipd224x224x3_opd10_e1_b1_lr001_1833,1,224,224,3,10,adam,1,1,0.001,2.15.1,12.2,18.44,18.46,18.49,model-npz/MobileNet_optadam_s1_e1_b1_lr0001_3031.npz,Nvidia,Tesla P100-PCIE-16GB,Tesla,6.0,3584,56,16.0,hbm2,732.2,0,6.0,0.3,100.0,2.92,26.0,25.84
MobileNet_architecture_optadam_s1_ipd224x224x3_opd10_e1_b1_lr0001_1871,1,224,224,3,10,adam,1,1,0.0001,2.15.1,12.2,18.78,18.8,18.82,model-npz/MobileNet_optadam_s1_e1_b1_lr00001_9311.npz,Nvidia,Tesla P100-PCIE-16GB,Tesla,6.0,3584,56,16.0,hbm2,732.2,0,7.0,0.26,26.0,0.86,26.0,26.0
